elements,5 char,10 char,15 char,20 char
70,7,15,24,39
95,10,21,41,42
120,13,26,38,61
145,16,38,55,61
170,25,46,54,80
195,21,43,73,89
220,23,65,81,101
245,26,64,90,118
270,35,67,95,121
295,31,72,104,132
320,33,69,114,151
345,44,82,127,163
370,39,88,131,171
395,43,93,145,183
420,51,100,146,212
445,48,105,161,211
470,57,110,176,214
495,54,117,178,235
520,55,131,190,238
545,64,125,203,255
570,61,144,210,266
595,70,144,225,277
620,73,144,226,290
645,69,159,237,300
670,79,155,238,321
695,81,167,260,322
720,85,171,268,339
745,90,180,278,338
770,83,183,291,359
795,91,193,283,375
820,94,195,304,386
845,97,204,307,401
870,100,206,318,413
895,103,215,338,412
920,106,216,334,433
945,109,221,343,446
970,111,230,359,454
995,113,233,369,460
1020,118,263,365,483
1045,121,243,371,487
1070,127,252,389,491
1095,123,265,408,508
1120,125,267,409,512
1145,130,268,407,531
1170,136,282,432,538
1195,144,287,425,557
1220,139,286,452,573
1245,142,296,449,582
1270,152,304,460,593
1295,144,303,472,601
1320,148,322,475,605
1345,156,321,496,625
1370,152,327,491,634
1395,165,331,503,652
1420,158,340,532,669
1445,169,340,530,671
1470,168,352,519,680
1495,173,356,545,690
1520,175,366,552,700
1545,172,359,563,717
1570,181,370,564,729
1595,176,383,579,742
1620,185,375,582,753
1645,188,395,589,763
1670,190,397,617,775
1695,186,398,610,771
1720,196,407,625,810
1745,198,443,622,798
1770,200,440,645,809
1795,203,412,644,821
1820,206,431,656,853
1845,203,439,667,856
1870,212,446,683,869
1895,214,456,679,871
1920,216,475,675,876
1945,219,457,684,917
1970,224,470,720,919
1995,230,482,726,936
2020,255,500,731,934
2045,230,484,730,949
2070,232,482,749,957
2095,235,491,754,961
2120,239,510,752,991
2145,241,509,774,983
2170,247,502,764,999
2195,251,522,796,1014
2220,248,515,788,1027
2245,253,529,794,1030
2270,260,528,806,1045
2295,267,544,826,1066
2320,260,544,818,1076
2345,266,554,833,1073
2370,264,550,847,1087
2395,269,569,841,1100
2420,274,559,860,1107
2445,272,570,871,1139
2470,281,574,880,1129
2495,278,584,887,1149
2520,283,590,888,1141
2545,281,591,896,1154
2570,288,596,900,1171
2595,285,636,900,1171
2620,293,614,922,1196
2645,296,631,932,1202
2670,294,637,948,1222
2695,301,647,945,1221
2720,304,660,965,1226
2745,300,649,967,1254
2770,311,649,975,1247
2795,312,650,988,1269
2820,313,659,988,1427
2845,314,665,989,1343
2870,321,656,1020,1298
2895,321,669,1023,1325
2920,323,683,1015,1311
2945,324,696,1032,1322
2970,326,695,1043,1358
2995,329,682,1051,1347
3020,333,693,1060,1358
3045,339,698,1077,1387
3070,338,719,1070,1398
3095,338,726,1071,1388
3120,349,719,1094,1398
3145,345,736,1085,1427
3170,352,744,1100,1428
3195,350,758,1122,1442
3220,354,741,1122,1437
3245,377,746,1147,1455
3270,391,754,1138,1450
3295,363,985,1142,1567
3320,368,780,1159,1471
3345,371,812,1145,1480
3370,385,793,1162,1570
3395,383,764,1166,1528
3420,379,779,1197,1592
3445,386,770,1165,1564
3470,388,790,1186,1598
3495,383,787,1208,1589
3520,399,783,1187,1564
3545,395,804,1208,1658
3570,395,812,1224,1639
3595,392,803,1229,1622
3620,396,820,1223,1629
3645,408,847,1225,1716
3670,411,836,1229,1700
3695,417,820,1244,1719
3720,421,836,1255,1718
3745,440,829,1239,1760
3770,424,845,1245,1701
3795,410,838,1262,1787
3820,413,901,1262,1778
3845,415,865,1259,1674
3870,419,853,1289,1686
3895,416,870,1284,1725
3920,421,865,1304,1710
3945,430,866,1279,1692
3970,430,873,1308,1775
3995,423,877,1318,1850
4020,434,877,1405,1733
4045,438,912,1340,1906
4070,450,911,1432,1830
4095,456,988,1341,1789
4120,459,934,1380,1809
